lon,lat,clay_0_5mm,clay_5_15mm,clay_15_30mm,phh2o_0_5mm,phh2o_5_15mm,phh2o_15_30mm,sand_0_5mm,sand_5_15mm,sand_15_30mm,silt_0_5mm,silt_5_15mm,silt_15_30mm,soc_0_5mm,soc_5_15mm,soc_15_30mm
-17.52,14.65,,,,,,,,,,,,,,,
-17.52,14.7,,,,,,,,,,,,,,,
-17.52,14.75,,,,,,,,,,,,,,,
-17.52,14.8,,,,,,,,,,,,,,,
-17.52,14.85,,,,,,,,,,,,,,,
-17.4525,14.65,,,,,,,,,,,,,,,
-17.4525,14.7,,,,,,,,,,,,,,,
-17.4525,14.75,,,,,,,,,,,,,,,
-17.4525,14.8,,,,,,,,,,,,,,,
-17.4525,14.85,,,,,,,,,,,,,,,
-17.385,14.65,,,,,,,,,,,,,,,
-17.385,14.7,,,,,,,,,,,,,,,
-17.385,14.75,,,,,,,,,,,,,,,
-17.385,14.8,,,,,,,,,,,,,,,
-17.385,14.85,,,,,,,,,,,,,,,
-17.3175,14.65,,,,,,,,,,,,,,,
-17.3175,14.7,,,,,,,,,,,,,,,
-17.3175,14.75,,,,,,,,,,,,,,,
-17.3175,14.8,,,,,,,,,,,,,,,
-17.3175,14.85,,,,,,,,,,,,,,,
-17.25,14.65,,,,,,,,,,,,,,,
-17.25,14.7,,,,,,,,,,,,,,,
-17.25,14.75,22.4,21.0,19.7,61.0,61.0,60.0,66.9,68.2,69.5,10.8,10.7,10.7,139.0,130.0,91.0
-17.25,14.8,13.7,12.3,13.6,67.0,67.0,66.0,75.9,77.2,76.6,10.4,10.4,9.8,150.0,163.0,136.0
-17.25,14.85,,,,,,,,,,,,,,,
