"NAME","lon_min","lat_min","lon_max","lat_max"
"Keur Massar",-17.342953,14.751534,-17.2882,14.823746
"Malika",-17.35517,14.782162,-17.314439,14.818196
"Yeumbeul Nord",-17.36671,14.766624,-17.333559,14.803192
"Yeumbeul Sud",-17.372336,14.762785,-17.342269,14.774337
"Daliford",-17.424505,14.733208,-17.395322,14.746735
"Djidah Thiaroye Kao",-17.397078,14.759568,-17.369694,14.776819
"Guinaw Rail Nord",-17.388561,14.748292,-17.377539,14.758085
"Guinaw Rail Sud",-17.397091,14.742834,-17.377705,14.752878
"Pikine Est",-17.393845,14.751263,-17.381284,14.762788
"Pikine Ouest",-17.400122,14.75463,-17.38776,14.767231
"Pikine Sud",-17.409689,14.743331,-17.390018,14.758323
"Diack Sao",-17.377914,14.745725,-17.361405,14.756085
"Diamaguene/Sicap M'Bao",-17.370622,14.746806,-17.339192,14.765294
"Mbao",-17.352292,14.719577,-17.293566,14.770544
"Thiaroye Gare",-17.381996,14.749341,-17.366639,14.764779
"Thiaroye Mer",-17.39939,14.736963,-17.350942,14.74801
